Sentence;Target_word;WordPredictions;wn;nwords;nprt;nw;sn;cloze;entropy;condition;sn_rand;sn_0;Prior;Sentences;Target_word;randomization;Web_Audio;Single_Word;sentence;word;randomize_3
�ffne die T�r nur einen ;Meter;0;;2;45;6;31;0;0,106565959;el_mm;387;387;el;s_el_387p.wav;s_el_mm_387tw;0,615522246;s_el_387p.wav;s_el_mm_387tw_1.wav;Stimuli/s_el_387p.wav;Stimuli/s_el_mm_387tw_1.wav;0,894483743
Mit voller Wucht traf die Abrissbirne das;regal;1;7;7;67;8;303;0,014925373;1,028217955;em_lc;359;359;em;s_em_359p.wav;s_em_lc_359tw;0,804572589;s_em_359p.wav;s_em_lc_359tw_3.wav;Stimuli/s_em_359p.wav;Stimuli/s_em_lc_359tw_3.wav;0,895196674
Den Teebeutel �bergo� sie mit hei�em;sirup;0;2;2;76;7;5;0;0,070054281;el_mm;84;084;el;s_el_084p.wav;s_el_mm_084tw;0,606017951;s_el_084p.wav;s_el_mm_084tw_1.wav;Stimuli/s_el_084p.wav;Stimuli/s_el_mm_084tw_1.wav;0,899357853
Zum 20-j�hrigen Jubil�um bekam die Sekr�terin von ihrem Chef eine Schachtel;pralinen;56;3;5;67;12;356;0,835820896;0,591928037;el;435;435;el;s_el_435p.wav;s_el_435tw;0,199543531;s_el_435p.wav;s_el_435tw_6.wav;Stimuli/s_el_435p.wav;Stimuli/s_el_435tw_6.wav;0,910879115
Die DDR baute 1961 in Berlin die;Fabrik;0;;1;44;8;14;0;0;el_mm;174;174;el;s_el_174p.wav;s_el_mm_174tw;0,368285308;s_el_174p.wav;s_el_mm_174tw_12.wav;Stimuli/s_el_174p.wav;Stimuli/s_el_mm_174tw_12.wav;0,912970582
Die Sch�ler schreiben heute eine wichtige Pr�fung in;mathe;47;8;10;66;9;181;0,712121212;1,141624711;em_hc;209;209;em;s_em_209p.wav;s_em_hc_209tw;0,840680635;s_em_209p.wav;s_em_hc_209tw_3.wav;Stimuli/s_em_209p.wav;Stimuli/s_em_hc_209tw_3.wav;0,913766794
Im Kindergarten bekamen die meisten Kinder in dieser Woche;l�use;5;20;38;67;10;229;0,074626866;3,440694712;eh;278;278;eh;s_eh_278p.wav;s_eh_278tw;0,177202132;s_eh_278p.wav;s_eh_278tw_6.wav;Stimuli/s_eh_278p.wav;Stimuli/s_eh_278tw_6.wav;0,918293328
Die junge Katze hat Angst vor dem;tod;1;13;16;68;8;166;0,014705882;1,576074887;em_lc;190;190;em;s_em_190p.wav;s_em_lc_190tw;0,496041187;s_em_190p.wav;s_em_lc_190tw_12.wav;Stimuli/s_em_190p.wav;Stimuli/s_em_lc_190tw_12.wav;0,930219092
Die K�chin w�rzte das Essen mit;ingwer;1;5;14;68;7;172;0,014705882;1,465469918;em_lc;200;200;em;s_em_200p.wav;s_em_lc_200tw;0,050490691;s_em_200p.wav;s_em_lc_200tw_6.wav;Stimuli/s_em_200p.wav;Stimuli/s_em_lc_200tw_6.wav;0,936652066
Der Wetterbericht warnt vor heftigem;gewitter;15;1;7;58;6;143;0,25862069;1,562372149;em_hc;152;152;em;s_em_152p.wav;s_em_hc_152tw;0,086066911;s_em_152p.wav;s_em_hc_152tw_6.wav;Stimuli/s_em_152p.wav;Stimuli/s_em_hc_152tw_6.wav;0,943950674
Im Supermarkt kaufen wir eine Flasche;�l;1;6;15;66;8;240;0,015151515;1,840455;em_lc;289;289;em;s_em_289p.wav;s_em_lc_289tw;0,392207616;s_em_289p.wav;s_em_lc_289tw_6.wav;Stimuli/s_em_289p.wav;Stimuli/s_em_lc_289tw_6.wav;0,950577399
Ihre H�nde waren ganz wund vom;putzen;9;7;28;68;7;218;0,132352941;2,884835511;eh;265;265;eh;s_eh_265p.wav;s_eh_265tw;0,462552297;s_eh_265p.wav;s_eh_265tw_12.wav;Stimuli/s_eh_265p.wav;Stimuli/s_eh_265tw_12.wav;0,953345656
Zu ihrem Kleid trug sie passende;kr�ge;0;4;8;67;7;353;0;0,648300331;el_mm;431;431;el;s_el_431p.wav;s_el_mm_431tw;0,725487985;s_el_431p.wav;s_el_mm_431tw_3.wav;Stimuli/s_el_431p.wav;Stimuli/s_el_mm_431tw_3.wav;0,953782154
Der Feuerl�scher befindet sich neben der;scheune;1;8;12;66;7;97;0,015151515;1,18929533;em_lc;104;104;em;s_em_104p.wav;s_em_lc_104tw;0,914091226;s_em_104p.wav;s_em_lc_104tw_3.wav;Stimuli/s_em_104p.wav;Stimuli/s_em_lc_104tw_3.wav;0,955512003
Die Wahrsagerin prophezeit ihrem Kunden eine erfolgreiche;zukunft;45;10;10;67;8;187;0,671641791;1,153729504;em_hc;217;217;em;s_em_217p.wav;s_em_hc_217tw;0,387848106;s_em_217p.wav;s_em_hc_217tw_12.wav;Stimuli/s_em_217p.wav;Stimuli/s_em_hc_217tw_12.wav;0,973729884
Ich suche meine Schl�ssel in der;tasche;39;9;10;66;7;213;0,590909091;1,436287342;em_hc;253;253;em;s_em_253p.wav;s_em_hc_253tw;0,458770987;s_em_253p.wav;s_em_hc_253tw_1.wav;Stimuli/s_em_253p.wav;Stimuli/s_em_hc_253tw_1.wav;0,97424849
Ich trinke gerne ein Glas Wein zum;tee;1;11;12;68;8;214;0,014705882;1,422135119;em_lc;255;255;em;s_em_255p.wav;s_em_lc_255tw;0,965771392;s_em_255p.wav;s_em_lc_255tw_3.wav;Stimuli/s_em_255p.wav;Stimuli/s_em_lc_255tw_3.wav;0,991231137
Im Weltall h�rt man keine;motoren;1;5;17;66;6;242;0,015151515;1,949497901;em_lc;291;291;em;s_em_291p.wav;s_em_lc_291tw;0,582855472;s_em_291p.wav;s_em_lc_291tw_1.wav;Stimuli/s_em_291p.wav;Stimuli/s_em_lc_291tw_1.wav;0,991865985
Aus dem Fenster sieht man in der Ferne die hohen;masten;1;6;9;64;11;41;0,015625;1,229807722;em_lc;37;037;em;s_em_037p.wav;s_em_lc_037tw;0,14822962;s_em_037p.wav;s_em_lc_037tw_6.wav;Stimuli/s_em_037p.wav;Stimuli/s_em_lc_037tw_6.wav;0,993394082
Die Menschen auf der Stra�e bestaunen den;k�nstler;8;15;39;66;8;177;0,121212121;3,451719095;eh;206;206;eh;s_eh_206p.wav;s_eh_206tw;0,855729106;s_eh_206p.wav;s_eh_206tw_3.wav;Stimuli/s_eh_206p.wav;Stimuli/s_eh_206tw_3.wav;0,994146264
Die Hose war zu eng zum;sitzen;16;16;20;66;7;162;0,242424242;2,551013678;eh;185;185;eh;s_eh_185p.wav;s_eh_185tw;0,448456939;s_eh_185p.wav;s_eh_185tw_12.wav;Stimuli/s_eh_185p.wav;Stimuli/s_eh_185tw_12.wav;0,996389093
