Sentence;Target_word;WordPredictions;wn;nwords;nprt;nw;sn;cloze;entropy;condition;sn_rand;sn_0;Prior;Sentences;Target_word;randomization;Web_Audio;Single_word;sentence;word;randomize_4
Das Feuer im Kamin knistert und verbreitet;dreck;1;1;11;66;8;69;0,015151515;0,97153133;em_lc;70;070;em;s_em_070p.wav;s_em_lc_070tw;0,729674507;s_em_070p.wav;s_em_lc_070tw_3.wav;Stimuli/s_em_070p.wav;Stimuli/s_em_lc_070tw_3.wav;0,909351091
Die Schüler schreiben heute eine wichtige Prüfung in;mathe;47;8;10;66;9;181;0,712121212;1,141624711;em_hc;209;209;em;s_em_209p.wav;s_em_hc_209tw;0,840680635;s_em_209p.wav;s_em_hc_209tw_6.wav;Stimuli/s_em_209p.wav;Stimuli/s_em_hc_209tw_6.wav;0,909884417
Aus dem Fenster sieht man in der Ferne die hohen;masten;1;6;9;64;11;41;0,015625;1,229807722;em_lc;37;037;em;s_em_037p.wav;s_em_lc_037tw;0,14822962;s_em_037p.wav;s_em_lc_037tw_12.wav;Stimuli/s_em_037p.wav;Stimuli/s_em_lc_037tw_12.wav;0,912901388
Der Zauberer verriet dem Publikum seinen ;weg;0;;4;47;7;11;0;0,20547075;el_mm;160;160;el;s_el_160p.wav;s_el_mm_160tw;0,443712154;s_el_160p.wav;s_el_mm_160tw_1.wav;Stimuli/s_el_160p.wav;Stimuli/s_el_mm_160tw_1.wav;0,91481067
Nächstes Jahr kommt mein kleiner Sohn schon in die ;Miene;0;;2;47;10;30;0;0,10296666;el_mm;384;384;el;s_el_384p.wav;s_el_mm_384tw;0,105955023;s_el_384p.wav;s_el_mm_384tw_12.wav;Stimuli/s_el_384p.wav;Stimuli/s_el_mm_384tw_12.wav;0,915918133
Im Zoo sprang die Robbe durch einen;reifen;42;3;7;76;8;13;0,552631579;1,019284069;em_hc;295;295;em;s_em_295p.wav;s_em_hc_295tw;0,938798487;s_em_295p.wav;s_em_hc_295tw_6.wav;Stimuli/s_em_295p.wav;Stimuli/s_em_hc_295tw_6.wav;0,926002967
Ihre Hände waren ganz wund vom;putzen;9;7;28;68;7;218;0,132352941;2,884835511;eh;265;265;eh;s_eh_265p.wav;s_eh_265tw;0,462552297;s_eh_265p.wav;s_eh_265tw_1.wav;Stimuli/s_eh_265p.wav;Stimuli/s_eh_265tw_1.wav;0,936063974
Die U-Bahn am Marienplatz war voller;ratten;1;12;17;66;7;185;0,015151515;1,642563515;em_lc;213;213;em;s_em_213p.wav;s_em_lc_213tw;0,407193726;s_em_213p.wav;s_em_lc_213tw_1.wav;Stimuli/s_em_213p.wav;Stimuli/s_em_lc_213tw_1.wav;0,947683765
Kurz vor der Ziellinie fiel der Reiter von seinem;strauß;0;1;3;66;10;287;0;0,213839861;el_mm;342;342;el;s_el_342p.wav;s_el_mm_342tw;0,359352091;s_el_342p.wav;s_el_mm_342tw_1.wav;Stimuli/s_el_342p.wav;Stimuli/s_el_mm_342tw_1.wav;0,955526699
Nach der Gartenarbeit wusch sie sich gründlich die;achseln;0;2;2;76;9;17;0;0,121692403;el_mm;370;370;el;s_el_370p.wav;s_el_mm_370tw;0,199469626;s_el_370p.wav;s_el_mm_370tw_12.wav;Stimuli/s_el_370p.wav;Stimuli/s_el_mm_370tw_12.wav;0,958016882
Die Zugvögel flogen nach ;Gefühl;0;;2;53;5;17;0;0,160680562;el_mm;220;220;el;s_el_220p.wav;s_el_mm_220tw;0,562866062;s_el_220p.wav;s_el_mm_220tw_3.wav;Stimuli/s_el_220p.wav;Stimuli/s_el_mm_220tw_3.wav;0,959686089
Nach einer anstrengenden Radtour hatte er großen Hunger und;angst;0;2;3;66;10;313;0;0,156798419;el_mm;372;372;el;s_el_372p.wav;s_el_mm_372tw;0,601450357;s_el_372p.wav;s_el_mm_372tw_3.wav;Stimuli/s_el_372p.wav;Stimuli/s_el_mm_372tw_3.wav;0,972431443
Meine Pommes esse ich am liebsten mit Ketchup und;salat;0;1;1;76;10;16;0;0;el_mm;352;352;el;s_el_352p.wav;s_el_mm_352tw;0,496238641;s_el_352p.wav;s_el_mm_352tw_3.wav;Stimuli/s_el_352p.wav;Stimuli/s_el_mm_352tw_3.wav;0,976926834
Als Kind liebte sie das Märchen von Hänsel und;nemo;0;1;1;66;10;2;0;0;el_mm;1;001;el;s_el_001p.wav;s_el_mm_001tw;0,547317068;s_el_001p.wav;s_el_mm_001tw_3.wav;Stimuli/s_el_001p.wav;Stimuli/s_el_mm_001tw_3.wav;0,981991691
Zur Belohnung gebe ich meinem Hund ein;leckerli;60;2;2;61;8;360;0,983606557;0,083649705;el;441;441;el;s_el_441p.wav;s_el_441tw;0,844306982;s_el_441p.wav;s_el_441tw_6.wav;Stimuli/s_el_441p.wav;Stimuli/s_el_441tw_6.wav;0,989620078
Marie bückte sich und sah einen;käfer;21;15;35;68;7;291;0,308823529;2,970789519;eh;349;349;eh;s_eh_349p.wav;s_eh_349tw;0,799798246;s_eh_349p.wav;s_eh_349tw_3.wav;Stimuli/s_eh_349p.wav;Stimuli/s_eh_349tw_3.wav;0,992897346
Aus dem Tresor stehlen die Bankräuber wertvolle;diamanten;8;5;26;65;8;43;0,123076923;2,981211014;eh;40;040;eh;s_eh_040p.wav;s_eh_040tw;0,004936903;s_eh_040p.wav;s_eh_040tw_12.wav;Stimuli/s_eh_040p.wav;Stimuli/s_eh_040tw_12.wav;0,996632485
In dieser Woche hat der Supermarkt ein Angebot für;obst;6;25;42;68;10;270;0,088235294;3,579427185;eh;321;321;eh;s_eh_321p.wav;s_eh_321tw;0,917178848;s_eh_321p.wav;s_eh_321tw_6.wav;Stimuli/s_eh_321p.wav;Stimuli/s_eh_321tw_6.wav;0,997640564
Der Fluss durch die Stadt führt direkt zum;meer;31;6;16;66;9;99;0,46969697;1,824052822;em_hc;107;107;em;s_em_107p.wav;s_em_hc_107tw;0,796966834;s_em_107p.wav;s_em_hc_107tw_6.wav;Stimuli/s_em_107p.wav;Stimuli/s_em_hc_107tw_6.wav;0,99764643
