Sentence;Target_word;WordPredictions;wn;nwords;nprt;nw;sn;cloze;entropy;condition;sn_rand;sn_0;Prior;Sentences;Target_word;randomization;Web_Audio;Single_Word;sentence;word;randomize_1
Der See ist ein beliebter Ort zum;angeln;1;1;13;68;8;132;0,014705882;1,717522048;em_lc;137;137;em;s_em_137p.wav;s_em_lc_137tw;0,160010556;s_em_137p.wav;s_em_lc_137tw_1.wav;Stimuli/s_em_137p.wav;Stimuli/s_em_lc_137tw_1.wav;0,913476587
Lars schlug sein Pferd mit einer ;Peitsche ;40;;3;44;7;26;0,909090909;0,355757474;el;344;344;el;s_el_344p.wav;s_el_344tw;0,161217147;s_el_344p.wav;s_el_344tw_1.wav;Stimuli/s_el_344p.wav;Stimuli/s_el_344tw_1.wav;0,917132292
Auf dem Zeltboden krabbelt eine;wanze;2;5;5;67;6;27;0,029850746;0,882515438;em_lc;23;023;em;s_em_023p.wav;s_em_lc_023tw;0,661228383;s_em_023p.wav;s_em_lc_023tw_6.wav;Stimuli/s_em_023p.wav;Stimuli/s_em_lc_023tw_6.wav;0,929612277
Das Parf�m der Rezeptionistin duftete angenehm nach;rosen;26;15;19;66;8;82;0,393939394;2,042440331;em_hc;77;077;em;s_em_077p.wav;s_em_hc_077tw;0,171671864;s_em_077p.wav;s_em_hc_077tw_1.wav;Stimuli/s_em_077p.wav;Stimuli/s_em_hc_077tw_1.wav;0,935357921
Die Zugv�gel flogen nach ;Gef�hl;0;;2;53;5;17;0;0,160680562;el_mm;220;220;el;s_el_220p.wav;s_el_mm_220tw;0,562866062;s_el_220p.wav;s_el_mm_220tw_6.wav;Stimuli/s_el_220p.wav;Stimuli/s_el_mm_220tw_6.wav;0,936378693
Morgens liest mein Vater;Zeitung;37;;4;40;5;27;0,925;0,348780385;el;361;361;el;s_el_361p.wav;s_el_361tw;0,451921037;s_el_361p.wav;s_el_361tw_6.wav;Stimuli/s_el_361p.wav;Stimuli/s_el_361tw_6.wav;0,936683921
Der warme Sandstrand kitzelt unter den;f��en;57;1;6;68;7;141;0,838235294;0,687772664;el;150;150;el;s_el_150p.wav;s_el_150tw;0,28929384;s_el_150p.wav;s_el_150tw_3.wav;Stimuli/s_el_150p.wav;Stimuli/s_el_150tw_3.wav;0,940295507
Berlin ist eine laute;Stadt;44;;1;44;5;3;1;0;el;59;059;el;s_el_059p.wav;s_el_059tw;0,381432987;s_el_059p.wav;s_el_059tw_3.wav;Stimuli/s_el_059p.wav;Stimuli/s_el_059tw_3.wav;0,946942076
Das Feuer im Kamin knistert und verbreitet;dreck;1;1;11;66;8;69;0,015151515;0,97153133;em_lc;70;070;em;s_em_070p.wav;s_em_lc_070tw;0,729674507;s_em_070p.wav;s_em_lc_070tw_6.wav;Stimuli/s_em_070p.wav;Stimuli/s_em_lc_070tw_6.wav;0,947985675
Die Belegschaft streikt f�r ein h�heres;gehalt;67;3;3;76;7;8;0,881578947;0,405076264;el;168;168;el;s_el_168p.wav;s_el_168tw;0,985224082;s_el_168p.wav;s_el_168tw_12.wav;Stimuli/s_el_168p.wav;Stimuli/s_el_168tw_12.wav;0,949581063
In der Schule lernen die Kinder;lesen;27;5;15;68;7;265;0,397058824;1,98044762;em_hc;317;317;em;s_em_317p.wav;s_em_hc_317tw;0,781152058;s_em_317p.wav;s_em_hc_317tw_12.wav;Stimuli/s_em_317p.wav;Stimuli/s_em_hc_317tw_12.wav;0,954940849
Der Comedien machte sich lustig �ber die;politiker;14;19;28;66;8;94;0,212121212;2,849741969;eh;97;097;eh;s_eh_097p.wav;s_eh_097tw;0,679738278;s_eh_097p.wav;s_eh_097tw_6.wav;Stimuli/s_eh_097p.wav;Stimuli/s_eh_097tw_6.wav;0,955615927
Zu Risiken und Nebenwirkungen fragen Sie Ihren Arzt oder;elektriker;0;1;2;75;10;24;0;0,122956999;el_mm;433;433;el;s_el_433p.wav;s_el_mm_433tw;0,212365739;s_el_433p.wav;s_el_mm_433tw_3.wav;Stimuli/s_el_433p.wav;Stimuli/s_el_mm_433tw_3.wav;0,955778196
In der Dunkelheit greift Theo nach der;zahnb�rste;1;14;15;67;8;255;0,014925373;1,810480301;em_lc;308;308;em;s_em_308p.wav;s_em_lc_308tw;0,450427045;s_em_308p.wav;s_em_lc_308tw_3.wav;Stimuli/s_em_308p.wav;Stimuli/s_em_lc_308tw_3.wav;0,956382812
Den Teebeutel �bergo� sie mit hei�em;sirup;0;2;2;76;7;5;0;0,070054281;el_mm;84;084;el;s_el_084p.wav;s_el_mm_084tw;0,606017951;s_el_084p.wav;s_el_mm_084tw_6.wav;Stimuli/s_el_084p.wav;Stimuli/s_el_mm_084tw_6.wav;0,957897215
Das erste Mal spielte der Schauspieler die Rolle des;b�sewichts;16;3;27;66;10;66;0,242424242;2,766499917;eh;66;066;eh;s_eh_066p.wav;s_eh_066tw;0,93936731;s_eh_066p.wav;s_eh_066tw_12.wav;Stimuli/s_eh_066p.wav;Stimuli/s_eh_066tw_12.wav;0,958658372
Das feuchte Handtuch h�ngt an dem;ofen;1;8;14;66;7;68;0,015151515;1,571622132;em_lc;68;068;em;s_em_068p.wav;s_em_lc_068tw;0,428594904;s_em_068p.wav;s_em_lc_068tw_3.wav;Stimuli/s_em_068p.wav;Stimuli/s_em_lc_068tw_3.wav;0,970930359
Bei diesem Ger�usch denkt Lilli immer an;urlaub;6;41;44;66;8;51;0,090909091;3,637979689;eh;46;046;eh;s_eh_046p.wav;s_eh_046tw;0,679538182;s_eh_046p.wav;s_eh_046tw_6.wav;Stimuli/s_eh_046p.wav;Stimuli/s_eh_046tw_6.wav;0,97260539
W�hrend der Konzerttage spielt die Musikerin ein St�ck auf ihrer;geige;23;4;12;68;11;345;0,338235294;1,990518482;em_hc;422;422;em;s_em_422p.wav;s_em_hc_422tw;0,864047883;s_em_422p.wav;s_em_hc_422tw_12.wav;Stimuli/s_em_422p.wav;Stimuli/s_em_hc_422tw_12.wav;0,978625175
Die Sch�ler schreiben heute eine wichtige Pr�fung in;mathe;47;8;10;66;9;181;0,712121212;1,141624711;em_hc;209;209;em;s_em_209p.wav;s_em_hc_209tw;0,840680635;s_em_209p.wav;s_em_hc_209tw_12.wav;Stimuli/s_em_209p.wav;Stimuli/s_em_hc_209tw_12.wav;0,981702421
Die Wahrsagerin prophezeit ihrem Kunden eine erfolgreiche;zukunft;45;10;10;67;8;187;0,671641791;1,153729504;em_hc;217;217;em;s_em_217p.wav;s_em_hc_217tw;0,387848106;s_em_217p.wav;s_em_hc_217tw_3.wav;Stimuli/s_em_217p.wav;Stimuli/s_em_hc_217tw_3.wav;0,992532859
